Title,Description,Status,Priority,Project,Label
Export data as JSON,"Export households, contacts, pets, bookings, charges, and payments as JSON.",Todo,Medium,Pawsear MVP,Reports And Export
Export reports as CSV,"Export operational reports as CSV.",Todo,Medium,Pawsear MVP,Reports And Export
Export database as SQLite,"Allow full local database export.",Todo,Medium,Pawsear MVP,Reports And Export
Export backup bundle as ZIP,"Create a backup bundle for portability.",Todo,Medium,Pawsear MVP,Reports And Export
Build completed work report,"Report completed work by date range.",Todo,Medium,Pawsear MVP,Reports And Export
Build unpaid work report,"Report unpaid or partially paid work.",Todo,Medium,Pawsear MVP,Reports And Export
Build staff workload report,"Report workload by staff member.",Todo,Low,Pawsear MVP,Reports And Export
Prepare for multiple businesses,"Keep architecture ready for multiple businesses in the future.",Todo,Medium,Pawsear Future,Future Expansion
Keep staff roles flexible,"Support walkers and sitters without assuming one fixed role.",Todo,Medium,Pawsear Future,Future Expansion
Keep service area fields available,"Leave room for future location-based matching.",Todo,Low,Pawsear Future,Future Expansion
Avoid marketplace assumptions,"Do not let marketplace needs complicate the internal MVP.",Todo,High,Pawsear MVP,Future Expansion
Research marketplace later,"Only research marketplace requirements after internal workflow works well.",Todo,Low,Pawsear Future,Future Expansion
Confirm MVP scope,"Review and lock the first MVP scope before implementation.",Done,High,Pawsear MVP,Immediate Next Tasks
Draft database schema,"Create the first database schema draft from the core model.",Done,High,Pawsear MVP,Immediate Next Tasks
Wireframe daily operations dashboard,"Create the first wireframe for the daily operations dashboard.",Done,High,Pawsear MVP,Immediate Next Tasks
Wireframe household profile,"Create the first wireframe for household, contact, and pet profile.",Done,High,Pawsear MVP,Immediate Next Tasks
Wireframe booking creation,"Create the first wireframe for booking creation.",Done,High,Pawsear MVP,Immediate Next Tasks
Wireframe payment tracking,"Create the first wireframe for payment tracking.",Done,High,Pawsear MVP,Immediate Next Tasks
Update README product direction,"Decide whether to update README with the refined product direction.",Done,Medium,Pawsear MVP,Immediate Next Tasks
